installation_s3ic_id;Nom de l'installation;description;Type;date;georisques_id;lien PDF GéoRisques;ocrmyPDF_status;size;Particularité du fichier pour le test;OCR mistral;Arrêtify 0.1.0;Commentaire recette (avec OCR 0325);Commentaire recette (avec OCR 1225)
0006802726;Mo'UVE;24_APC_82-2022-04-11-00002-déro.pdf;AP prescriptions complémentaires;11/04/2022;T/G/baW25WFrv7WZankfo7C9pf3MpRH5HA6G;https://georisques.gouv.fr/webappReport/ws/installations/document/baW25WFrv7WZankfo7C9pf3MpRH5HA6G;SUCCESS;245338,0;;OK;OK;Texte en en-tête du document source un peu floue avec une mauvaise retranscription;
0005201622;ARCHIMBAUD (SAS scierie);Arrêté de mesures de gdestion du site des 2 scieries;Arrêté préfectoral;20/06/2016;B/b/8aa100b1556dfefc01556e13dd85000b;https://georisques.gouv.fr/webappReport/ws/installations/document/8aa100b1556dfefc01556e13dd85000b;SUCCESS;245041,0;;OK;OK;"Certains titres étant intégrés à un paragraphe de texte, ils n’ont pas pu être récupérés. La numérotation a elle, bien été récupérée.

L’image de la signature a été tronquée";
0005801516;LEGRAND NORMANDIE;Modification AP 08/03/02 et autorisation poursuite activités;Arrêté préfectoral;03/06/2015;H/7/8accf0a64e1a05f4014e1b56a6e30027;https://georisques.gouv.fr/webappReport/ws/installations/document/8accf0a64e1a05f4014e1b56a6e30027;SUCCESS;245037,0;;OK;OK;RAS à part quelques problèmes sur le tableau avec des lignes vides.;
0005203364;CARRIERES DE THIVIERS SA;AP de renouvellement / extension;Arrêté préfectoral;11/09/1980;B/4/a11b5efd01cf4396924ee8fcf8d68394;https://georisques.gouv.fr/webappReport/ws/installations/document/a11b5efd01cf4396924ee8fcf8d68394;SUCCESS;244781,0;;OK;OK;"Texte en en-tête du document source un peu floue avec une mauvaise retranscription
Problème de détection d'un niveau de titre Article 1";
0010002245;CHATREIX;AP d'autorisation (hors régularisation adm.);Arrêté préfectoral;29/09/1987;O/9/0d89233b35434aca8e0feb66f0070319;https://georisques.gouv.fr/webappReport/ws/installations/document/0d89233b35434aca8e0feb66f0070319;SUCCESS;244768,0;;OK;OK;"Numérotations non reconnues.
Problèmes sur les apostrophes
Quelques mentions manuscrites non reconnues.
Un niveau de titre (Article 2) a été passé en rouge dans le HTML : pour quelles raisons ?

Fichier PDF source de qualité médiocre.";
0006400578;SUEZ RV MEDITERRANEE;Prescriptions complémentaires;Arrêté préfectoral;24/08/2011;Z/3/8a8d1b975968c75b015968e98f970023;https://georisques.gouv.fr/webappReport/ws/installations/document/8a8d1b975968c75b015968e98f970023;SUCCESS;244521,0;;OK;OK;"Un article n'a pas été détecté (Article 7) et le niveau de titre n'a pas été appliqué.
Petit problème d'affichage de l'exposant sur Article 1er";
0006401514;AUTO CASSE BEA;Non renseigné;Arrêté préfectoral;18/08/2006;Z/3/4d94deab64c4403c8c8bbfd767f9e8f3;https://georisques.gouv.fr/webappReport/ws/installations/document/4d94deab64c4403c8c8bbfd767f9e8f3;SUCCESS;244520,0;;OK;OK;"Certains niveaux de titre ne sont pas reconnus et rend la lecture un peu plus complexe
L’annexe de l’arrêté n’a pas été séparé du reste de l’arrêté et les niveaux de titre n’ont pas été détectés";
0003900584;CENTRALE EOLIENNE DE LA HOUSSAYE;2022_02_03 AP prorogation validitÃ© AE.pdf;AP autorisation temporaire ;03/02/2022;H/s/IPmRif7o4vBlabCre3XVyLjtoaqZdOEs.pdf;https://georisques.gouv.fr/webappReport/ws/installations/document/IPmRif7o4vBlabCre3XVyLjtoaqZdOEs;SUCCESS;129804.0;;;;;
0003012008;MHCS - Ets Veuve Cliquot St-Léonard;2016_E_70_IC.pdf;AP d’enregistrement ;21/04/2016;M/b/is5mJTxzlwvMwDEbhaEUooOL2fnlbw0b.pdf;https://georisques.gouv.fr/webappReport/ws/installations/document/is5mJTxzlwvMwDEbhaEUooOL2fnlbw0b;SUCCESS;269686.0;;;;;
0003102997;EUROVIA POITOU CHARENTES LIMOUSIN;APC du 09.03.2023.pdf;AP prescriptions spéciales ;09/03/2023;B/z/uFQnkRvFgpYTpldGIoI6AWFaTnRAJQXz.pdf;https://georisques.gouv.fr/webappReport/ws/installations/document/uFQnkRvFgpYTpldGIoI6AWFaTnRAJQXz;SUCCESS;844067.0;;;;;
0003101036;GRENIER Alain - ISDI;GRENIER Alain_AP SUP du 3 nov 2023;AP servitude d’utilité publique ;11/07/2016;B/s/7eYWqgFO5BP6B2Q8jP0Pu8zFXRVPp0Js.pdf;https://georisques.gouv.fr/webappReport/ws/installations/document/7eYWqgFO5BP6B2Q8jP0Pu8zFXRVPp0Js;SUCCESS;356979.0;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
